Sno,InstanceID,InstanceType,KeyName,Private_ip,Public_IP
1,i-0168895bf3e19e608,t2.micro,anshu-demo-key,172.31.44.172,3.91.28.47
2,i-04ba5b5a8b0bc3060,t2.micro,anshu-demo-key,172.31.34.123,54.162.151.126
